student_id,date,name,country,sql,excel,maths,python,poo,tableau,data_exploration,data_manipulation,data_viz,data_transformation,data_modelisation,data_deployement,pack_office,result_presentation
GMC0000053,2020-06-26,Sossa Komi,Bénin,14.95,,15,79,48,10.0,14.95,78.71,15,79,48,46,49.0,46
GMC0000054,2020-06-22,Fofana Cheick,Côte d'ivoire,47.48,,47,1,67,75.0,47.48,1.0,47,1,67,17,82.0,17
GMC0000055,2020-06-25,Ben Jemaa Habib,Tunisie,36.29,,36,16,58,,36.29,15.9,36,16,58,42,97.0,42
GMC0000056,2020-06-24,Atchadé Têko,Bénin,46.38,,46,89,42,44.0,46.38,89.12,46,89,42,73,28.0,73
GMC0000057,2020-06-24,Badiane Lamine,Sénégal,58.85,,59,30,46,37.0,58.85,30.18,59,30,46,57,79.0,57
GMC0000058,2020-06-22,Tiemoko Cisse,Côte d'ivoire,49.11,,49,59,62,62.0,49.11,58.64,49,59,62,71,54.0,71
GMC0000059,2020-06-24,Ben Ali,Tunisie,64.14,,64,92,69,2.0,64.14,91.71,64,92,69,57,29.0,57
GMC0000060,2020-06-25,Tchetche Nyom,Cameroun,88.64,,89,67,66,28.0,88.64,66.97,89,67,66,87,29.0,87
GMC0000061,2020-06-25,Keita Ibrahima,Côte d'ivoire,25.64,,26,79,17,55.0,25.64,79.11,26,79,17,45,33.0,45
GMC0000062,2020-06-23,Brou Téa,Côte d'ivoire,48.24,,48,39,92,65.0,48.24,38.83,48,39,92,91,50.0,91
GMC0000063,2020-06-23,Agbohou Akouvi,Bénin,57.7,,58,65,39,42.0,57.7,64.95,58,65,39,84,43.0,84
GMC0000064,2020-06-24,Koulibaly Adama,Côte d'ivoire,44.79,,45,55,15,57.0,44.79,54.8,45,55,15,48,66.0,48
GMC0000065,2020-06-26,Coulibaly Adama,Côte d'ivoire,75.85,,76,1,60,50.0,75.85,1.0,76,1,60,50,55.0,50
GMC0000066,2020-06-24,Diop Ndèye,Sénégal,1.0,,1,28,76,92.0,1.0,27.87,1,28,76,19,88.0,19
GMC0000067,2020-06-23,Bamba Mamadou,Côte d'ivoire,100.0,,100,38,30,58.0,100.0,37.64,100,38,30,86,83.0,86
GMC0000068,2020-06-23,Ndiaye Modou,Sénégal,21.43,,21,24,25,69.0,21.43,24.38,21,24,25,47,69.0,47
GMC0000069,2020-06-22,Diop Ndèye,Sénégal,55.3,,55,3,65,75.0,55.3,2.68,55,3,65,99,47.0,99
GMC0000070,2020-06-26,Koulibaly Adama,Côte d'ivoire,67.62,,68,42,98,66.0,67.62,42.22,68,42,98,38,92.0,38
GMC0000071,2020-06-23,Drame Abdoulaye,Sénégal,30.36,,30,47,29,60.0,30.36,47.03,30,47,29,39,16.0,39
GMC0000072,2020-06-22,Keita Adama,Côte d'ivoire,61.55,,62,71,38,90.0,61.55,70.83,62,71,38,8,75.0,8
GMC0000073,2020-06-22,Koné Souleymane,Côte d'ivoire,67.61,,68,27,94,45.0,67.61,26.78,68,27,94,68,85.0,68
GMC0000074,2020-06-22,Kanwé Kossi,Bénin,63.09,,63,90,28,50.0,63.09,89.53,63,90,28,6,73.0,6
GMC0000075,2020-06-24,Sossa Komi,Bénin,26.84,,27,32,100,62.0,26.84,32.0,27,32,100,48,88.0,48
GMC0000076,2020-06-25,Kpalla Têko,Bénin,100.0,,100,67,73,36.0,100.0,66.78,100,67,73,48,75.0,48
GMC0000077,2020-06-24,Eloundou Tchoutchoui,Cameroun,55.67,,56,78,65,84.0,55.67,78.03,56,78,65,16,58.0,16
GMC0000078,2020-06-24,Habib Bourguiba,Tunisie,21.18,,21,79,48,31.0,21.18,79.28,21,79,48,35,48.0,35
GMC0000079,2020-06-24,Mengue Douala,Cameroun,65.8,,66,53,84,27.0,65.8,53.46,66,53,84,11,92.0,11
GMC0000080,2020-06-24,Mboma Song,Cameroun,50.99,,51,76,68,57.0,50.99,76.13,51,76,68,29,36.0,29
GMC0000081,2020-06-23,Pongolle Siani,Cameroun,61.61,,62,41,72,91.0,61.61,41.42,62,41,72,5,38.0,5
GMC0000082,2020-06-22,Sagbo Têko,Bénin,1.0,,1,29,48,22.0,1.0,28.95,1,29,48,83,59.0,83
GMC0000083,2020-06-26,Fayala Mohamed,Tunisie,83.03,,83,35,50,40.0,83.03,34.77,83,35,50,90,24.0,90
GMC0000084,2020-06-26,Faye Fatou,Sénégal,53.82,,54,46,36,25.0,53.82,46.01,54,46,36,56,63.0,56
GMC0000085,2020-06-25,Niang Aïda,Sénégal,54.11,,54,34,32,33.0,54.11,33.84,54,34,32,79,95.0,79
GMC0000086,2020-06-26,Tientcheu Owona,Cameroun,39.25,,39,44,21,30.0,39.25,44.31,39,44,21,24,81.0,24
GMC0000087,2020-06-25,Coulibaly Mamadou,Côte d'ivoire,69.18,,69,39,57,73.0,69.18,39.34,69,39,57,51,33.0,51
GMC0000088,2020-06-24,Ben Jannet Mohamed,Tunisie,74.62,,75,59,34,,74.62,59.44,75,59,34,63,30.0,63
GMC0000089,2020-06-22,Koulibaly Ibrahima,Côte d'ivoire,56.77,56.0,57,54,71,1.0,56.77,53.53,57,54,71,56,67.0,56
GMC0000090,2020-06-26,Gaye Ndeye,Sénégal,84.8,,85,49,57,27.0,84.8,49.12,85,49,57,85,16.0,85
GMC0000091,2020-06-25,Toure Adama,Côte d'ivoire,52.0,,52,28,25,13.0,52.0,27.76,52,28,25,1,41.0,1
GMC0000092,2020-06-23,Karoui Nabil,Tunisie,40.0,,40,31,7,34.0,40.0,31.33,40,31,7,99,43.0,99
GMC0000093,2020-06-24,Djoko Mbia,Cameroun,24.3,,24,65,1,55.0,24.3,65.32,24,65,1,91,45.0,91
GMC0000094,2020-06-24,Ben Ammar Slimane,Tunisie,35.38,,35,100,94,37.0,35.38,100.0,35,100,94,34,82.0,34
GMC0000095,2020-06-24,Sebsi Béji,Tunisie,70.41,,70,87,16,61.0,70.41,87.47,70,87,16,22,95.0,22
GMC0000096,2020-06-26,Alladaye Gbènè,Bénin,47.95,,48,45,12,73.0,47.95,45.16,48,45,12,72,68.0,72
GMC0000097,2020-06-24,Traoré Souleymane,Côte d'ivoire,41.38,,41,16,100,36.0,41.38,16.08,41,16,100,69,87.0,69
GMC0000098,2020-06-23,Hached Farhat,Tunisie,63.21,,63,83,1,38.0,63.21,83.3,63,83,1,82,27.0,82
GMC0000099,2020-06-23,Nguiamba Doumbe,Cameroun,23.28,,23,20,35,53.0,23.28,19.84,23,20,35,53,49.0,53
GMC0000100,2020-06-25,Agossa Têko,Bénin,37.2,,37,38,33,89.0,37.2,38.31,37,38,33,65,63.0,65
GMC0000101,2020-06-24,Batonon Gbènè,Bénin,57.28,,57,79,33,64.0,57.28,78.88,57,79,33,86,43.0,86
GMC0000102,2020-06-24,Sarr Mariama,Sénégal,64.16,,64,13,12,44.0,64.16,12.95,64,13,12,42,6.0,42
GMC0000103,2020-06-26,Gbèdji Akouvi,Bénin,62.59,,63,71,40,52.0,62.59,70.52,63,71,40,2,5.0,2
GMC0000104,2020-06-25,Boukhari Mohamed,Tunisie,57.13,,57,52,76,54.0,57.13,51.83,57,52,76,15,52.0,15
GMC0000105,2020-06-24,Toure Adama,Côte d'ivoire,62.11,,62,58,79,40.0,62.11,57.84,62,58,79,4,84.0,4
GMC0000106,2020-06-24,Badiane Pape,Sénégal,84.09,,84,95,63,50.0,84.09,95.47,84,95,63,31,33.0,31
GMC0000107,2020-06-26,Soglo Foli,Bénin,30.47,,30,19,49,56.0,30.47,18.65,30,19,49,13,21.0,13
GMC0000108,2020-06-22,Sebsi Béji,Tunisie,38.3,,38,89,92,43.0,38.3,88.96,38,89,92,74,45.0,74
GMC0000109,2020-06-25,Diallo Cheick,Côte d'ivoire,80.61,,81,74,77,43.0,80.61,74.02,81,74,77,20,61.0,20
GMC0000110,2020-06-25,Bouzouita Mohamed,Tunisie,17.97,,18,27,78,77.0,17.97,26.61,18,27,78,27,18.0,27
GMC0000111,2020-06-25,Gueye Aissatou,Sénégal,71.89,,72,46,10,1.0,71.89,45.53,72,46,10,97,81.0,97
GMC0000112,2020-06-23,Agossa Têko,Bénin,7.23,,7,43,40,26.0,7.23,43.28,7,43,40,69,66.0,69
GMC0000113,2020-06-26,Kodjo Akouvi,Bénin,38.73,,39,58,66,58.0,38.73,57.55,39,58,66,65,9.0,65
GMC0000114,2020-06-22,Saied Kais,Tunisie,68.73,,69,65,52,68.0,68.73,65.4,69,65,52,23,62.0,23
GMC0000115,2020-06-24,Dokou Kossi,Bénin,44.9,,45,17,58,100.0,44.9,17.48,45,17,58,57,54.0,57
GMC0000116,2020-06-23,Niang Aïda,Sénégal,45.45,,45,50,79,76.0,45.45,50.45,45,50,79,85,29.0,85
GMC0000117,2020-06-23,Monastiri Mohamed,Tunisie,67.02,,67,54,79,88.0,67.02,54.11,67,54,79,9,95.0,9
GMC0000118,2020-06-25,Dione Anta,Sénégal,4.54,,5,83,1,56.0,4.54,83.33,5,83,1,45,42.0,45
GMC0000119,2020-06-26,Lombe Ngando,Cameroun,51.18,,51,100,69,48.0,51.18,100.0,51,100,69,25,31.0,25
GMC0000120,2020-06-24,Koulibaly Ibrahima,Côte d'ivoire,59.87,,60,60,1,28.0,59.87,59.93,60,60,1,95,3.0,95
GMC0000121,2020-06-25,Biya Mvondo,Cameroun,43.79,,44,38,22,82.0,43.79,38.06,44,38,22,16,39.0,16
GMC0000122,2020-06-22,Ben Youssef Mohamed,Tunisie,34.56,,35,47,35,59.0,34.56,47.41,35,47,35,73,67.0,73
GMC0000123,2020-06-22,Nyom Foe,Cameroun,32.93,,33,56,56,9.0,32.93,55.75,33,56,56,3,50.0,3
GMC0000124,2020-06-24,Ben Taher Mohamed,Tunisie,60.91,,61,28,57,68.0,60.91,28.31,61,28,57,17,11.0,17
GMC0000125,2020-06-23,Ngoumou Ewane,Cameroun,7.42,,7,47,34,56.0,7.42,46.89,7,47,34,3,95.0,3
GMC0000126,2020-06-24,Sylla Ndèye,Sénégal,59.84,,60,31,26,38.0,59.84,30.97,60,31,26,80,52.0,80
GMC0000127,2020-06-22,Kana Biya,Cameroun,38.02,,38,58,47,40.0,38.02,58.11,38,58,47,68,71.0,68
GMC0000128,2020-06-22,Coulibaly Cheick,Côte d'ivoire,42.52,,43,59,73,83.0,42.52,58.51,43,59,73,47,54.0,47
GMC0000129,2020-06-23,Ewane Mbappe,Cameroun,67.35,,67,22,67,81.0,67.35,21.51,67,22,67,99,7.0,99
GMC0000130,2020-06-23,Odjo Koffi,Bénin,66.97,,67,41,20,57.0,66.97,40.94,67,41,20,58,4.0,58
GMC0000131,2020-06-22,Cissé Ndèye,Sénégal,55.99,,56,35,78,37.0,55.99,34.69,56,35,78,56,19.0,56
GMC0000132,2020-06-26,El Heni Mohamed,Tunisie,53.78,,54,48,71,59.0,53.78,48.49,54,48,71,37,62.0,37
GMC0000133,2020-06-22,Doumbe Biya,Cameroun,70.4,,70,77,44,68.0,70.4,77.32,70,77,44,89,80.0,89
GMC0000134,2020-06-26,Jouini Mohamed,Tunisie,97.34,,97,1,20,50.0,97.34,1.0,97,1,20,34,65.0,34
GMC0000135,2020-06-25,Mèdègnon Gbènè,Bénin,65.99,,66,60,52,14.0,65.99,60.48,66,60,52,43,23.0,43
GMC0000136,2020-06-22,Diatta Fatou,Sénégal,25.95,,26,77,51,14.0,25.95,77.49,26,77,51,3,1.0,3
GMC0000137,2020-06-22,El Ghoul Mohamed,Tunisie,1.0,,1,55,34,38.0,1.0,55.47,1,55,34,88,91.0,88
GMC0000138,2020-06-25,Sanogo Mamadou,Côte d'ivoire,98.26,,98,29,34,77.0,98.26,28.79,98,29,34,85,56.0,85
GMC0000139,2020-06-23,Koulibaly Adama,Côte d'ivoire,6.62,,7,9,16,51.0,6.62,8.58,7,9,16,36,100.0,36
GMC0000140,2020-06-23,Diouf Moussa,Sénégal,80.26,,80,24,37,1.0,80.26,24.38,80,24,37,19,82.0,19
GMC0000141,2020-06-22,Ben Jemaa Habib,Tunisie,69.94,,70,83,73,19.0,69.94,83.38,70,83,73,77,89.0,77
GMC0000142,2020-06-24,Ben Miled Mohamed,Tunisie,40.5,,41,71,80,54.0,40.5,71.27,41,71,80,70,70.0,70
GMC0000143,2020-06-26,Toukourou Gbènè,Bénin,67.56,,68,82,16,39.0,67.56,82.38,68,82,16,82,28.0,82
GMC0000144,2020-06-24,Kana Biya,Cameroun,28.74,,29,51,36,78.0,28.74,51.26,29,51,36,81,18.0,81
GMC0000145,2020-06-23,Tchabi Kossi,Bénin,79.42,,79,59,84,92.0,79.42,58.74,79,59,84,9,3.0,9
GMC0000146,2020-06-22,Ben Halima Mohamed,Tunisie,36.89,,37,52,49,74.0,36.89,52.18,37,52,49,76,2.0,76
GMC0000147,2020-06-24,Gaye Ndeye,Sénégal,67.52,,68,70,75,79.0,67.52,70.47,68,70,75,16,65.0,16
GMC0000148,2020-06-23,Diakité Adama,Côte d'ivoire,74.6,,75,38,34,19.0,74.6,38.13,75,38,34,21,6.0,21
GMC0000149,2020-06-24,Camara Mamadou,Côte d'ivoire,46.96,,47,36,89,26.0,46.96,35.78,47,36,89,17,76.0,17
GMC0000150,2020-06-22,Dikobe Nzouankeu,Cameroun,100.0,,100,51,47,36.0,100.0,51.47,100,51,47,65,27.0,65
GMC0000151,2020-06-25,Diarra Ibrahima,Côte d'ivoire,62.4,,62,38,50,35.0,62.4,37.77,62,38,50,62,49.0,62
GMC0000152,2020-06-23,Seck Awa,Sénégal,69.91,,70,41,59,54.0,69.91,41.08,70,41,59,97,10.0,97
GMC0000153,2020-06-25,Kouton Akouvi,Bénin,38.15,,38,39,5,36.0,38.15,39.07,38,39,5,84,54.0,84
GMC0000154,2020-06-23,Seck Awa,Sénégal,48.58,58.0,49,44,80,87.0,48.58,43.91,49,44,80,58,84.0,58
GMC0000155,2020-06-26,Diakité Adama,Côte d'ivoire,83.94,,84,48,54,11.0,83.94,47.66,84,48,54,50,63.0,50
GMC0000156,2020-06-23,Mbia Abanda,Cameroun,29.88,63.0,30,35,59,82.0,29.88,34.6,30,35,59,63,38.0,63
GMC0000157,2020-06-22,Drame Ndongo,Sénégal,1.0,,1,60,41,79.0,1.0,60.37,1,60,41,58,36.0,58
GMC0000158,2020-06-26,Tchalla Foli,Bénin,41.66,,42,55,97,37.0,41.66,55.05,42,55,97,84,57.0,84
GMC0000159,2020-06-25,Owona Chedjou,Cameroun,27.83,,28,43,58,58.0,27.83,42.56,28,43,58,28,48.0,28
GMC0000160,2020-06-26,Agbéssi Gbènè,Bénin,58.35,,58,67,68,33.0,58.35,67.04,58,67,68,88,18.0,88
GMC0000161,2020-06-22,Osseni Akouvi,Bénin,63.42,,63,63,90,82.0,63.42,63.46,63,63,90,36,78.0,36
GMC0000162,2020-06-24,Zoua Tchuisseu,Cameroun,31.4,,31,35,43,59.0,31.4,34.65,31,35,43,37,46.0,37
GMC0000163,2020-06-25,Gueye Pape,Sénégal,41.99,,42,69,29,71.0,41.99,69.23,42,69,29,85,17.0,85
GMC0000164,2020-06-24,Migan Komi,Bénin,27.1,,27,100,30,36.0,27.1,100.0,27,100,30,62,31.0,62
GMC0000165,2020-06-23,Moudachirou Kossi,Bénin,28.51,,29,88,82,52.0,28.51,88.12,29,88,82,29,100.0,29
GMC0000166,2020-06-25,Fotso Zoua,Cameroun,55.65,,56,60,12,65.0,55.65,59.74,56,60,12,2,72.0,2
GMC0000167,2020-06-23,Tchetche Nyom,Cameroun,65.72,,66,14,39,100.0,65.72,13.95,66,14,39,12,71.0,12
GMC0000168,2020-06-22,Kouki Chokri,Tunisie,54.66,,55,71,11,35.0,54.66,71.14,55,71,11,63,45.0,63
GMC0000169,2020-06-25,Cissé Ndèye,Sénégal,73.81,,74,39,71,88.0,73.81,38.87,74,39,71,18,6.0,18
GMC0000170,2020-06-25,Sghaier Hichem,Tunisie,74.7,,75,13,20,40.0,74.7,12.69,75,13,20,31,71.0,31
GMC0000171,2020-06-24,Ogougbé Akouvi,Bénin,48.18,,48,55,19,54.0,48.18,55.29,48,55,19,39,19.0,39
GMC0000172,2020-06-24,Gahou Koffi,Bénin,36.23,,36,41,48,43.0,36.23,40.82,36,41,48,99,69.0,99
GMC0000173,2020-06-25,Tunisie Taïeb,Tunisie,26.55,,27,26,51,80.0,26.55,25.65,27,26,51,26,38.0,26
GMC0000174,2020-06-26,Traoré Ibrahima,Côte d'ivoire,19.02,,19,16,61,71.0,19.02,16.45,19,16,61,57,54.0,57
GMC0000175,2020-06-26,Kiki Têko,Bénin,53.49,,53,11,63,58.0,53.49,11.26,53,11,63,25,52.0,25
GMC0000176,2020-06-23,Diakité Sadio,Côte d'ivoire,44.42,,44,58,67,81.0,44.42,57.84,44,58,67,13,89.0,13
GMC0000177,2020-06-23,Seck Ndèye,Sénégal,100.0,,100,40,6,31.0,100.0,39.91,100,40,6,77,2.0,77
GMC0000178,2020-06-23,Fodha Mohamed,Tunisie,53.06,,53,23,81,56.0,53.06,23.15,53,23,81,97,92.0,97
GMC0000179,2020-06-24,Ben Hassen Hédi,Tunisie,14.76,,15,50,17,72.0,14.76,49.96,15,50,17,9,85.0,9
GMC0000180,2020-06-26,Tientcheu Owona,Cameroun,85.57,,86,77,67,35.0,85.57,77.44,86,77,67,48,89.0,48
GMC0000181,2020-06-23,Diakité Abdoulaye,Côte d'ivoire,1.0,,1,72,97,61.0,1.0,71.81,1,72,97,88,5.0,88
GMC0000182,2020-06-23,Kallel Mohamed,Tunisie,16.31,,16,6,17,53.0,16.31,6.12,16,6,17,26,95.0,26
GMC0000183,2020-06-26,Coulibaly Bakary,Côte d'ivoire,59.09,,59,70,86,80.0,59.09,69.89,59,70,86,22,32.0,22
GMC0000184,2020-06-25,Abanda Manga,Cameroun,49.63,,50,1,31,23.0,49.63,1.0,50,1,31,23,14.0,23
GMC0000185,2020-06-24,Odjo Koffi,Bénin,81.81,,82,80,71,62.0,81.81,79.65,82,80,71,46,40.0,46
GMC0000186,2020-06-22,Ngalla Mvondo,Cameroun,13.76,,14,66,85,65.0,13.76,65.71,14,66,85,20,81.0,20
GMC0000187,2020-06-26,Yèkpè Foli,Bénin,20.11,42.0,20,49,27,34.0,20.11,48.55,20,49,27,42,3.0,42
GMC0000188,2020-06-24,El Ouerghi Mohamed,Tunisie,35.2,,35,96,49,86.0,35.2,96.4,35,96,49,48,70.0,48
GMC0000189,2020-06-22,Keita Cheick,Côte d'ivoire,39.64,,40,51,51,80.0,39.64,50.71,40,51,51,37,62.0,37
GMC0000190,2020-06-23,Fotso Zoua,Cameroun,14.36,,14,45,14,39.0,14.36,45.46,14,45,14,40,46.0,40
GMC0000191,2020-06-22,Ben Jannet Mohamed,Tunisie,55.23,,55,65,89,84.0,55.23,65.31,55,65,89,18,48.0,18
GMC0000192,2020-06-25,Diallo Alpha,Côte d'ivoire,35.18,,35,31,45,55.0,35.18,30.92,35,31,45,40,90.0,40
GMC0000193,2020-06-25,Saied Kais,Tunisie,13.17,,13,41,45,93.0,13.17,41.13,13,41,45,60,38.0,60
GMC0000194,2020-06-23,Djoko Mbia,Cameroun,27.59,,28,43,40,36.0,27.59,43.46,28,43,40,83,55.0,83
GMC0000195,2020-06-23,Cisse Cheick,Côte d'ivoire,77.61,,78,70,29,52.0,77.61,70.3,78,70,29,38,37.0,38
GMC0000196,2020-06-24,Togbè Gbènè,Bénin,39.21,,39,62,80,28.0,39.21,62.07,39,62,80,99,88.0,99
GMC0000197,2020-06-25,Diagne Aissatou,Sénégal,45.97,,46,28,100,73.0,45.97,27.84,46,28,100,88,12.0,88
GMC0000198,2020-06-25,Traoré Amadou,Côte d'ivoire,72.23,,72,49,54,100.0,72.23,49.06,72,49,54,39,63.0,39
GMC0000199,2020-06-26,Ben Farhat Mohamed,Tunisie,57.21,,57,36,77,26.0,57.21,35.93,57,36,77,9,80.0,9
GMC0000200,2020-06-24,Soltani Abderrahmane,Tunisie,23.71,,24,72,67,24.0,23.71,72.44,24,72,67,55,96.0,55
GMC0000201,2020-06-25,Kante Boubacar,Côte d'ivoire,42.01,,42,60,77,53.0,42.01,59.58,42,60,77,18,44.0,18
GMC0000202,2020-06-25,Zoua Tchuisseu,Cameroun,34.5,,35,17,32,68.0,34.5,16.88,35,17,32,42,72.0,42
GMC0000203,2020-06-24,Tientcheu Tchakounté,Cameroun,53.92,,54,78,1,13.0,53.92,78.48,54,78,1,48,62.0,48
GMC0000204,2020-06-24,Ndao Aminata,Sénégal,35.71,,36,49,68,27.0,35.71,48.61,36,49,68,20,51.0,20
GMC0000205,2020-06-25,Seck Awa,Sénégal,76.44,,76,63,58,17.0,76.44,63.34,76,63,58,44,3.0,44
